TRIPLET,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,
QUAD,170,116,120,122,102,105,532,537,108,505,542,546,,113,117,118,123,101,523,531,538,107,504,541,545,,114,115,119,121,103,522,533,536,106,503,540,547,
FUCUS%TOTAL,90,30,30,80,40,30,33,65,25,40,98,96,54.75,80,40,75,50,50,60,10,90,15,28,55,60,51.08333333,0.5,2,1,3,0.5,1,0.5,10,2,0.5,1,1,1.916666667
FUCUS#ADULTS,54,12,21,120,15,22,24,44,7,80,200,60,56.39,38,17,37,39,34,30,8,20,7,32,50,32,13.06858366,3,0,0,0,,0,0,0,,,3,0.5,1.301708279
FUCUS SPORELINGS%,3,5,1,2,0.5,3,3,5,8,3,10,0.5,,15,1,1,1,3,0.5,3,10,5,4,4,0.5,,3,2,1,3,0.5,1,0.5,10,2,0.5,0.5,0.5,
FUCUS SPORELINGS#,10-100,10-100,10-100,10-100,.1-10,10-100,10-100,100-1000,100-1000,100-1000,100-1000,10-100,,100-1000,0-10,10-100,.1-10,10-100,.1-10,10-100,100-1000,100-1000,100-1000,100-1000,10-100,,10-100,10-100,10-100,10-100,10-100,10-100,.1-10,100-1000,100-1000,10-100,10-100,100-1000,
ULVA,0,0,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,
CRYPTOSIPHONIA,0,0,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,
RALFSIA/HILD,1,0.5,0,0,,,,1,0.05,,,0.5,,2,0.5,0.5,0.5,,,,1,0.5,0.5,,,,3,0,0,0,,,,,0.5,,,,
ENDOCLADIA,10,1,15,,,2,,1,,,,0.5,,5,10,1,1,,1,,,,0.5,,0.5,,0.5,0.5,1,,,1,,,,,,,
ODONTHALIA,0,10,15,5,20,15,,5,15,,,4,,3,0,3,20,0.5,3,2,20,5,,,1,,0,0,8,,,0.5,,8,,,,,
PTEROSIPHONIA,0,5,8,1,2,5,15,1,,,,2,,3,0.5,1,2,0.5,1,1,1,0.5,,,0.5,,0,0,5,,,,,,,,,,
GLOIOPELTIS,0,0,0.5,,,,,,,,,,,0,0,,,,,,,,,,,,0.5,5,0.5,0.5,0.5,0.5,,,,,,,
ENTEROMORPHA,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,3,0,,,,,,,,,,,
CLAD SERICEA,,0.5,,,0.5,1,0.5,,,,,,,,0,0.5,,,,,0.5,,,,,,,0,,,,0.5,,,,,,,
SORANTHERA,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.5,,,,,0.5,,,,,
MASTO PAP,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,0.5,,,,,,,
PETROCELIS,,,,,,,,,,0.5,,,,,,,0.5,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,
POLYSIPHONIA,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
