TRIPLET,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,,,,,,,,,,,,,,,,,,,,
QUAD,113,114,170,115,116,117,118,119,120,121,122,123,101,102,103,522,523,105,531,532,533,536,537,538,106,107,108,503,504,505,540,541,542,545,546,547,,,,,,,,,,,,,,,,,,,,
FUCUS%TOTAL,55,80,40,55,5,8,10,10,5,5,0.5,10,20,5,2,20,8,1,7,20,1,85,50,30,45,45,20,3,55,25,93,80,92,30,10,60,,,,,,,,,,,,,,,,,,,,
FUCUS#ADULTS,70,60,48,30,3,5,14,15,6,5,5,7,8,1,3,23,13,2,23,9,10,55,80,85,25,15,19,6,40,25,50,100,200,20,6,20,,,,,,,,,,,,,,,,,,,,
FUCUS SPORELINGS%,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,6,2,0.5,2,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,
FUCUS SPORELINGS#,10-100,10-100,10-100,0-10,0-10,0-10,10-100,10-100,10-100,10-100,10-100,10-100,0-10,0-10,0-10,10-100,10-100,0-10,10-100,2,2,2,2,3,10-100,10-100,10-100,0-10,10-100,10-100,10-100,15,50,10-100,0-10,10-100,,,,,,,,,,,,,,,,,,,,
Ulva,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptosiphonia,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ralfsia/Hild,0.5,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,0.5,0.5,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
Endocladia,5,0.5,30,1,0.5,0.5,0.5,7,5,,1,,0.5,,,15,5,5,,,1,,5,0.5,0.5,,0.5,3,2,1,0.5,1,,1,,0.5,,,,,,,,,,,,,,,,,,,,
Odonthalia,5,7,,1,2,3,5,12,1,3,3,8,,12,,1,1,15,20,12,5,5,3,2,2,1,10,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,
Pterosiphonia,0.5,2,,15,5,,2,15,2,12,3,12,,5,,12,5,,10,20,7,15,5,15,5,,,,,,,,,1,8,6,,,,,,,,,,,,,,,,,,,,
Gloiopeltis,,0.5,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enteromorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clad sericia,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,1,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soranthera,,,,,,,,,,,,,,0.5,,,,,,0.5,1,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masto pap,,1,0.5,,,,,,0.5,,0.5,,,0.5,,,,0.5,,0.5,,,,,0.5,,0.5,1,,1,,0.5,3,,,,,,,,,,,,,,,,,,,,,,,
Petrocelia,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,5,0.5,0.5,,2,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,
Polysiphonia,,,,,,,,,,,,1,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myelophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elachista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halosaccion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neorhodomela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colpomenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erect coralline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
encrusting coralline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L sitkana,102,77,27,147,109,206,40,207,48,67,119,123,23,81,44,215,137,75,282,255,138,254,202,216,309,276,294,283,394,260,750,297,573,248,227,203,,,,,,,,,,,,,,,,,,,,
L scutulata,2,0,8,3,7,2,5,3,0,3,12,3,3,4,7,8,12,1,11,6,3,,1,0,7,3,4,4,3,2,25,10,7,28,7,10,,,,,,,,,,,,,,,,,,,,
