TRIPLET,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,
QUAD,113,114,170,115,116,117,118,119,120,121,122,123,101,102,103,522,523,105,531,532,533,536,537,538,106,107,108,503,504,505,540,541,542,545,546,547,
FUCUS%TOTAL,20,100,40,8,6,3,10,30,25,30,3,8,5,5,4,20,4,5,75,18,25,15,30,98,50,60,85,20,80,30,95,30,75,96,4,35,"note: this is total adults, NOT adults plus germlings"
FUCUS#ADULTS,21,50,35,15,8,7,20,35,18,40,9,12,7,4,10,25,10,10,80,25,35,8,20,70,35,40,50,30,60,50,75,15,60,100,3,40,
FUCUS SPORELINGS%,2,0.5,1,0.5,1,0.5,0.5,1,2,0.5,0.5,1,1,2,2,2,1,2,1,1,0.5,1,2,0.5,0.5,2,0.5,2,3,6,2,3,4,1,1,2,
FUCUS SPORELINGS#,100-1000,10-Jan,10-100,10-100,100-1000,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,100-1000,10-100,10-1000,10-100,10-100,10-Jan,10-100,10-100,10-100,100-1000,10-100,10-100,10-100,10-100,10-100,100-1000,100-1000,100-1000,100-1000,100-1000,10-100,10-100,10-100,
Ulva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cryptosiphonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,
Ralfsia/Hild,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Endocladia,2,1,10,2,1,2,1,3,4,0.5,2,2,0.5,0,0.5,4,3,4,0,0,0,0,2,0,0,0,0,3,2,0,0,1,1,0,0.5,0,
Odonthalia,0,3,0,1,0,5,0.5,15,0,1,3,5,0,3,0,1,1,8,0.5,3,4,6,5,1,1,1,10,0,0,0,0,0,0,0,0,0.5,
Pterosiphonia,0,2,0,4,0,2,0.5,6,2,2,2,6,0,3,0,0,1,3,0.5,3,4,8,2,5,2,4,2,0,0,0,0,0,0,2,0.5,4,note: this probably includes both Poly and Pterosiphonia
Gloiopeltis,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Enteromorpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clad sericea,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0,1,0.5,1,0,1,0,2,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,
Soranthera,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,
Masto pap,0.5,3,0,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,
Petrocelia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Polysiphonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,note: this probably includes both Poly and Pterosiphonia
Myelophycus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Elachista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Halosaccion,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Neorhodomela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colpomenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
erect coralline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
irridescent snail (Homalopoma?),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
L sitkana,151,0,49,112,96,173,118,89,103,128,246,94,129,103,52,67,208,133,81,90,145,197,155,52,170,144,231,128,240,198,270,280,320,328,280,146,
