TRIPLET,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUAD,113,114,170,115,116,117,118,119,120,121,122,123,101,102,103,522,523,105,531,532,533,536,537,538,106,107,108,503,504,505,540,541,542,545,546,547,,,,,,,control,,all plots,,,,,,,,,,,,,,,,,,,,,
FUCUS%TOTAL,50,85,30,35,80,25,15,40,55,65,50,30,20,12,50,50,10,2,100,85,60,50,70,50,70,99,90,45,100,90,100,95,100,96,50,93,"note: this is total adults, NOT adults plus germlings",,,,,average,669,55.75,2147,59.63888889,,,,,,,,,,,,,,,,,,,,
FUCUS#ADULTS,30,35,13,13,37,19,10,27,36,32,33,28,18,14,23,19,6,3,50,45,23,18,25,16,26,40,21,24,50,55,55,40,60,25,26,32,,,,,,sd,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
FUCUS SPORELINGS%,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,0.5,1,0.5,1,0.5,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUCUS SPORELINGS#,10-100,1-10,10-100,10-100,10-100,10-100,1-10,1-10,10-100,10-100,1-10,1-10,1-10,10-100,10-100,1-10,1-10,1-10,1-10,1-10,1-10,10-100,10-100,10-100,10-100,1-10,10-100,10-100,1-10,10-100,0-10,10-100,0-10,0-10,10-100,10-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptosiphonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralfsia/Hild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endocladia,1,0,5,2,0.5,2,1,1,0.5,0,0.5,0.5,0.5,0,0.5,1,2,2,0,0,0,0.5,2,0,0,0,1,2,0.5,0,0,0.5,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
