TRIPLET,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,,,,,,,,,
QUAD,113,114,170,115,116,117,118,119,120,121,122,123,101,102,103,522,523,105,531,532,533,536,537,538,106,107,108,503,504,505,540,541,542,545,546,547,,,,,,,control,,all plots
FUCUS%TOTAL,35,60,45,30,92,96,30,28,40,18,92,35,85,86,98,20,7,20,32,90,98,88,95,88,98,100,65,90,94,100,78,80,96,50,100,55,911,,75.9,,,,,,
FUCUS#ADULTS,50,80,70,70,75,110,35,15,12,21,75,19,40,90,110,11,13,17,16,55,100,60,30,55,95,60,35,35,60,80,15,45,70,45,85,21,,,,,,,,,
FUCUS SPORELINGS%,1,8,5,3,1,0.5,2,6,3,2,1,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0.5,1,,,,,,,,,
FUCUS SPORELINGS#,10-100,10-100,100-1000,100-1000,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,1 to 10,10-100,10-100,1 to 10,10-100,10-100,10-100,100-1000,10-100,1 to 10,10-100,10-100,10-100,10-100,10-100,10-100,10-100,100-1000,1 to 10,100-1000,,,,,,,,,
Ulva,0,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptosiphonia,,,,,,,,,,,,,,,,,,,0,0.5,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,
Ralfsia/Hild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endocladia,3,0,3,0.5,0.5,1,1,7,4,1,0.5,1,0.5,0.5,0.5,4,2,3,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,,,,,,,,,
