TRIPLET,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,,,,,,,,,,,,,,,,,,,,,,,
QUAD,113,114,170,115,116,117,118,119,120,121,122,123,101,102,103,522,523,105,531,532,533,536,537,538,106,107,108,503,504,505,540,541,542,545,546,547,,,,,,,,,,,,,,,,,,,,,,,
FUCUS%TOTAL,45,85,98,97,45,60,92,25,25,5,22,20,85,75,75,0,6,40,0.5,25,94,60,45,100,100,26,92,6,30,40,60,30,40,98,55,94,,568,47.33,,,,,,,,,,,,,,,,,,,,
FUCUS#ADULTS,20,55,60,65,20,45,50,16,35,7,17,15,25,35,45,0,12,20,1,6,45,19,13,55,19,11,55,13,9,10,30,18,35,45,21,55,,,,,,,,,,,,,,,,,,,,,,,
FUCUS SPORELINGS%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,2,0.5,0,1,0.5,0.5,0.5,0.5,1,2,2,0.5,0.5,1,,,,,,,,,,,,,,,,,,,,,,,
FUCUS SPORELINGS#,10-100,10-100,10-100,0-10,0-10,10-100,10-100,0-10,10-100,0-10,0-10,10-100,10-100,10-100,10-100,0-10,0-10,0-10,10-100,10-100,10-100,10-100,10-100,0-10,0,100-1000,0-10,0-10,0-10,100-1000,100-1000,100-1000,100-1000,0-10,0-10,100-1000,,,,,,,,,,,,,,,,,,,,,,,
Ulva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptosiphonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralfsia/Hild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endocladia,2,,2,1,2,1,1,6,10,2,6,1,,,1,3,0.5,5,0.5,,,,1,,,0.5,,0.5,0.5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Odonthalia,,,,0.5,,1,1,5,1,,,8,,6,,,,4,3,,4,3,3,4,2,0.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pterosiphonia,,2,,1,3,2,1,6,6,1,,2,,,0.5,,1,3,12,,1,2,2,2,1,0.5,5,,,,,,,4,2,2,,,,,,,,,,,,,,,,,,,,,,,
Gloiopeltis,,,,,,,,0.5,,0.5,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enteromorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clad sericia,0.5,,,,,,0.5,,0.5,,,,,,,0.5,0.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soranthera,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masto pap,0.5,2,,0.5,,,,,,,,,,,,,,0.5,0.5,,0.5,,,,,0.5,,,0.5,0.5,0.5,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Petrocelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polysiphonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myelophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elachista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halosaccion,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neorhodomela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colpomenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erect coralline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L sitkana,125,10,25,20,74,146,52,212,262,239,98,153,138,254,306,212,334,396,410,380,255,295,265,229,155,137,166,147,211,210,145,214,268,160,231,135,,2566,213.83,218.50,,,,,,,,,,,,,,,,,,,
L scutulata,2,0,1,12,5,2,3,1,6,12,2,7,6,16,10,3,21,12,25,0,0,2,1,1,1,2,7,4,7,2,2,0,1,0,1,2,,56,4.67,,,,,,,,,,,,,,,,,,,,
Lottids,15,6,0,20,49,18,16,16,87,59,46,79,48,32,49,71,142,64,146,78,41,57,39,16,27,64,64,1,42,28,32,23,26,12,66,28,,552,46.00,,,,,,,,,,,,,,,,,,,,
