TRIPLET,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12
QUAD,113,114,170,115,116,117,118,119,120,121,122,123,101,102,103,522,523,105,531,532,533,536,537,538,106,107,108,503,504,505,540,541,542,545,546,547
FUCUS%TOTAL,20,4,1,0.5,5,6,0,12,18,55,16,18,2,1,1,13,10,4,90,92,10,90,99,22,60,100,28,3,88,100,65,100,100,10,40,6
FUCUS#ADULTS,30,4,6,3,9,3,0,11,17,23,16,9,2,1,1,12,21,6,50,55,9,45,35,15,15,35,10,4,40,55,20,40,65,7,10,4
FUCUS SPORELINGS%,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,1,1,0,1,1,0.5,0,0.5,0,0.5,0.5,1,0.5
FUCUS SPORELINGS#,10-100,10-Jan,10-100,10-100,10-100,10-100,10-100,10-Jan,10-100,10-100,10-Jan,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-Jan,0,10-100,10-Jan,10-Jan,10-100,10-100,0,10-100,10-100,10-Jan,0,10-Jan,0,10-Jan,10-Jan,10-100,10-Jan
Ulva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptosiphonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralfsia/Hild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endocladia,12,0.5,5,4,3,2,2,10,9,1,0.5,0.5,0.5,0.5,1,2,2,0,0.5,0,0,1,0.5,0,0,0,5,0.5,2,0,0,0,0,0,0.5,0
Odonthalia,0.5,3,0,0,3,0,0,6,3,3,5,12,0,10,0.5,0,1,20,0.5,6,6,6,0.5,5,3,2,2,0,0,0,0,0,0,0,0.5,2
Pterosiphonia,0,1,0,0,2,6,0,6,3,3,1,10,0.5,7,0,1,2,12,6,12,8,9,0,7,4,1,1,0,2,0,0,0,0,0.5,5,0
Gloiopeltis,0.5,0,2,0.5,1,0,0.5,0,0,0.5,0,0,0,0,0,3,0.5,0,,,,,,,0,0,1,0,0,0,,,,,,
Enteromorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clad sericea,0.5,1,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0.5,1,0,0,0.5,0,0,0,,,,,,,0,0,0,0,0.5,0
Soranthera,,,,,,,0,0.5,0,0,0.5,1,0,0.5,0.5,0,0,0,0,1,0,3,0,0.5,1,0,0,0,0,0,,,,,,
Masto pap,0.5,6,0.5,1,0.5,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5
Petrocelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polysiphonia,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myelophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elachista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halosaccion,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neorhodomela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colpomenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erect coralline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L sitkana,30,4,0,7,12,90,6,105,15,23,6,25,6,88,10,36,85,210,30,25,140,95,4,110,60,6,18,210,165,300,188,85,275,40,7,5
L scutulata,12,0,0,16,5,12,3,11,30,35,20,13,13,14,6,25,55,85,175,35,95,20,10,35,10,0,22,12,12,0,45,0,0,7,15,7
Lottids,80,6,18,80,95,125,65,12,45,67,92,43,77,63,115,55,53,43,33,22,65,12,55,56,78,30,32,6,26,6,4,6,0,55,130,85
Barnacles,22,3,6,8,20,25,7,8,30,22,0,18,15,11,45,6,16,5,6,10,14,15,55,18,10,18,12,10,18,40,65,35,55,8,30,25
Mytilus,0.5,0,0,1,10,22,2,12,20,12,0,30,26,14,18,1,22,18,2,10,18,6,24,26,13,8,8,0.5,4,0.5,13,4,0.5,10,8,15
Nucella,,,,,,,0,0,1,0,0,1,0,1,0,1,5,6,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Buccinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle spat,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0
