plot_id,triplet,quad,fucus_percent_total,fucus_number_adults,fucus_sporelings_percent,fucus_sporelings_number,acrosiphonia,chaetomorpha,cryptosiphonia,endocladia,gloiopeltis,halosaccion,hildenbrandia,masto_pap,melanosiphon,odonthalia,palmaria,petrocelis,pilayella,porphyra,pterosiphonia,ralfsia_hild,l_sitkana,l_scutulata,barnacles,barnacle_spat,mytilus,nucella,pagurus,siphonaria,onchidella,lottids,lottidae,l_digit_strig,nereidae,emplectonema,paranemertes,amphiporus,margarites,cucumaria,leptasterias,year,ulva,enteromorpha,clad_sericea,soranthera,polysiphonia,myelophycus,lottiidae,buccinum,spirorbidae,katharina,margarits_juv,elachista,neorhodomela,colpomenia,erect_coralline,antho_artemesia,crustose_coralline,a_arcta,petrocelia,callithamnion,hiatella_arctica,epiactis,irridescent_snail_homalopoma,cryptonatica_acrosiphonia,lepidochiton,flatworm,unident_polychaete,idotea
113_1,1,113,50,65,25,<10^4,0.5,0.5,0,10,1,0.5,0,0,0.5,0,1,0.5,0.5,1,1,0,650,19,10,15,5,0,100,2,0,12,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114_1,1,114,60,152,2,<10^2,0,0,0.5,0,0,2,5,0,0,0,0,0,1,0,5,0,3,2,1,5,0,0,5,3,0,6,0,0,0,0,0,1,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170_1,1,170,85,37,4,<10^2,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,200,5,12,0,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115_2,2,115,85,62,2,<10^1,0,0,0,5,0.5,0,0,0,0,0.5,0,0.5,1,0,2,0,200,9,15,0.5,10,0,22,0,0,7,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116_2,2,116,60,25,0.5,<10^1,0,0,2,0.5,0,0,0,0,0,3,0,0,0,0,2,0,350,10,20,0.5,40,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117_2,2,117,45,18,0.5,<10^1,0,0,0,3,0,0,0,0,0,0.5,0,0,0,0,0,0,80,5,30,1,25,0,0,0,0,25,0,0,0,0,0,0,0,0,1,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118_3,3,118,70,27,5,<10^2,0,0,0,0.5,0,0,0,0,1,3,0,0,0,0,4,0,50,10,30,0.5,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119_3,3,119,55,34,3,<10^2,0,0,0,3,0,0,0,0,0,7,0,0.5,0,0,20,0,150,0,15,0,3,0,0,0,10,30,0,0,0,2,0,0,2,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120_3,3,120,70,28,0.5,<10^1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0.5,100,10,15,0.5,8,0,0,0,0,75,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121_4,4,121,95,55,0.5,<10^1,0.5,0,0,0,0,0.5,0,0,0.5,8,0,0,0,0,6,0,250,5,10,0,2,0,4,0,10,35,0,0,0,0,0,0,1,0,1,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122_4,4,122,60,43,1,<10^2,0,0.5,1,0.5,0.5,0.5,0,0,0,3,0,0,0,0,4,0.5,125,5,14,0,7,0,0,2,6,90,0,0,0,2,0,0,0,1,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123_4,4,123,90,46,1,<10^2,0,0,2,0,0,0.5,0,0,0,6,0,0.5,0,0,2,0,25,1,40,0,2,0,3,6,2,5,0,0,0,0,0,0,1,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101_5,5,101,98,45,0.5,<10^1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,450,8,30,0,12,0,0,0,0,125,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102_5,5,102,95,34,0.5,<10^1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,200,3,20,0,16,1,1,0,0,25,0,0,0,1,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103_5,5,103,60,55,1,<10^2,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,1,0,100,10,25,0.5,20,0,0,0,0,30,0,0,0,1,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522_6,6,522,55,45,1,<10^2,0,0.5,0,5,0,0,0,0.5,0,4,0,2,0,0,0,1,50,2,3,0,2,0,1,2,0,10,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523_6,6,523,80,21,0.5,<10^1,0.5,0,0,3,0.5,0,0.5,0.5,0,3,0,0,0,0,3,0,150,12,10,0,15,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105_6,6,105,60,32,0.5,<10^1,0,1,0,3,0,0,0.5,1,0,10,0,0,0,0,10,0,400,5,15,0,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531_7,7,531,70,36,1,<10^2,0,0,0,0,0,0,0,0.5,0,3,0,0,0,0,2,0,225,25,20,0,3,0,0,0,0,82,3,0,0,4,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
